ep,node,gtype,policy,deg_mean,btwn_mean,close_mean,vuln_mean,vuln_std,vuln_max,total_scans,total_exploits,total_successes,uniq_srcs_mean,neigh_scans_mean,time_since_last_mean,label
4,17,barabasi_albert,rl_stub,2.0,0.0,0.42000000000000004,0.8160000000000001,0.0,0.816,234,0,0,2.05,1.5375,16.925,0
4,18,barabasi_albert,rl_stub,2.0,0.0,0.4375,0.844,0.0,0.844,0,0,0,1.0,1.45625,9.19375,0
4,19,barabasi_albert,rl_stub,2.0,0.009523809523809525,0.35,0.43499999999999994,0.0,0.435,80,0,0,1.5,2.475,8.45625,0
4,20,barabasi_albert,rl_stub,2.0,0.0,0.44680851063829785,0.051000000000000004,0.0,0.051,141,61,0,2.2125,1.34375,6.79375,1
4,21,barabasi_albert,rl_stub,2.0,0.014285714285714287,0.4375,0.3,0.0,0.3,80,0,0,1.5,0.65625,9.15,0
5,0,barabasi_albert,rl_stub,3.0,0.4805194805194805,0.44897959183673464,0.425,0.0,0.425,45,40,0,1.53125,1.53125,8.05625,1
5,1,barabasi_albert,rl_stub,11.0,0.8571428571428571,0.5238095238095238,0.539,0.0,0.539,40,200,0,2.08125,5.94375,5.10625,1
5,2,barabasi_albert,rl_stub,1.0,0.0,0.3492063492063492,0.098,0.0,0.098,0,0,0,0.93125,0.25,16.20625,0
5,3,barabasi_albert,rl_stub,2.0,0.09090909090909091,0.36065573770491804,0.558,0.0,0.558,92,440,0,2.4625,0.6625,8.0375,1
5,4,barabasi_albert,rl_stub,3.0,0.3852813852813853,0.36666666666666664,0.561,0.0,0.561,136,187,0,2.5875,1.1,7.25,1
5,5,barabasi_albert,rl_stub,1.0,0.0,0.2716049382716049,0.198,0.0,0.198,39,80,0,1.5,0.85,9.425,1
5,6,barabasi_albert,rl_stub,1.0,0.0,0.2682926829268293,0.05700000000000001,0.0,0.057,66,0,0,1.2125,0.575,8.275,0
5,7,barabasi_albert,rl_stub,2.0,0.09090909090909091,0.36065573770491804,0.8219999999999998,0.0,0.822,53,0,0,1.08125,0.5875,7.14375,0
5,8,barabasi_albert,rl_stub,1.0,0.0,0.2682926829268293,0.472,0.0,0.472,54,40,0,1.5875,0.33125,8.99375,1
5,9,barabasi_albert,rl_stub,1.0,0.0,0.3492063492063492,0.689,0.0,0.689,137,0,0,1.85625,0.25,10.325,0
5,10,barabasi_albert,rl_stub,1.0,0.0,0.3492063492063492,0.079,0.0,0.079,203,0,0,1.975,0.25,13.2125,0
5,11,barabasi_albert,rl_stub,3.0,0.1774891774891775,0.3728813559322034,0.322,0.0,0.322,84,0,0,1.35,1.95,7.125,0
5,12,barabasi_albert,rl_stub,1.0,0.0,0.3142857142857143,0.399,0.0,0.399,69,0,0,1.4,0.28125,11.0625,0
5,13,barabasi_albert,rl_stub,1.0,0.0,0.3492063492063492,0.11200000000000002,0.0,0.112,40,0,0,1.25,0.25,8.50625,0
5,14,barabasi_albert,rl_stub,1.0,0.0,0.275,0.622,0.0,0.622,150,0,0,1.9,0.525,13.00625,0
5,15,barabasi_albert,rl_stub,3.0,0.2554112554112554,0.29333333333333333,0.353,0.0,0.353,92,0,0,1.325,2.10625,6.31875,0
5,16,barabasi_albert,rl_stub,1.0,0.0,0.22916666666666666,0.762,0.0,0.762,130,0,0,1.8,0.575,10.89375,0
5,17,barabasi_albert,rl_stub,1.0,0.0,0.3492063492063492,0.49399999999999994,0.0,0.494,137,0,0,1.7,0.25,7.5375,0
5,18,barabasi_albert,rl_stub,2.0,0.09090909090909091,0.23404255319148937,0.375,0.0,0.375,71,15,0,1.525,1.15,8.60625,1
5,19,barabasi_albert,rl_stub,1.0,0.0,0.19130434782608696,0.493,0.0,0.493,92,36,0,1.66875,0.44375,15.08125,1
5,20,barabasi_albert,rl_stub,1.0,0.0,0.275,0.075,0.0,0.075,122,0,0,1.7375,0.525,10.51875,0
5,21,barabasi_albert,rl_stub,1.0,0.0,0.3492063492063492,0.576,0.0,0.576,80,0,0,1.5,0.25,9.68125,0
5,22,barabasi_albert,rl_stub,1.0,0.0,0.3492063492063492,0.256,0.0,0.256,80,0,0,1.36875,0.25,15.0,0
6,0,watts_strogatz,rl_stub,4.0,0.02106027596223675,0.36,0.322,0.0,0.322,109,40,0,1.81875,3.16875,6.94375,1
6,1,watts_strogatz,rl_stub,4.0,0.10521838364975618,0.45,0.676,0.0,0.676,135,0,0,1.59375,2.95625,11.45,0
6,2,watts_strogatz,rl_stub,3.0,0.06371511567589999,0.42857142857142855,0.501,0.0,0.501,74,0,0,1.4625,1.40625,9.76875,0
6,3,watts_strogatz,rl_stub,4.0,0.17229484386347133,0.45,0.26,0.0,0.26,116,144,0,2.2625,2.9375,9.4375,1
6,4,watts_strogatz,rl_stub,3.0,0.09573088494657123,0.45,0.398,0.0,0.398,59,0,0,1.2625,3.0125,10.55,0
6,5,watts_strogatz,rl_stub,3.0,0.08370162879966801,0.391304347826087,0.577,0.0,0.577,202,96,0,2.40625,3.41875,8.425,1
6,6,watts_strogatz,rl_stub,4.0,0.06261541653698517,0.391304347826087,0.42400000000000004,0.0,0.424,271,0,0,2.38125,3.38125,8.125,0
6,7,watts_strogatz,rl_stub,4.0,0.051104886399004054,0.3673469387755102,0.062,0.0,0.062,160,40,0,2.175,5.50625,13.30625,1
6,8,watts_strogatz,rl_stub,4.0,0.044594874987031845,0.3673469387755102,0.125,0.0,0.125,120,0,0,1.50625,5.2125,7.425,0
6,9,watts_strogatz,rl_stub,4.0,0.05126050420168068,0.375,0.776,0.0,0.776,288,0,0,2.15625,3.15625,17.34375,0
6,10,watts_strogatz,rl_stub,4.0,0.09208424110384897,0.4186046511627907,0.068,0.0,0.068,115,64,0,1.79375,4.2375,5.675,1
6,11,watts_strogatz,rl_stub,4.0,0.08397655358439672,0.4390243902439025,0.722,0.0,0.722,110,257,0,2.68125,4.1125,4.89375,1
6,12,watts_strogatz,rl_stub,4.0,0.16581076875194523,0.46153846153846156,0.812,0.0,0.812,160,0,0,2.0,1.90625,6.4875,0
6,13,watts_strogatz,rl_stub,4.0,0.1276584707957257,0.47368421052631576,0.278,0.0,0.278,95,0,0,1.575,2.4625,10.94375,0
6,14,watts_strogatz,rl_stub,5.0,0.08807967631497045,0.4864864864864865,0.48599999999999993,0.0,0.486,80,0,0,1.20625,3.34375,11.875,0
6,15,watts_strogatz,rl_stub,4.0,0.04687726942628904,0.42857142857142855,0.85,0.0,0.85,145,0,0,1.40625,1.90625,10.65,0
6,16,watts_strogatz,rl_stub,6.0,0.1628799668015354,0.47368421052631576,0.765,0.0,0.765,0,160,0,1.53125,4.73125,7.03125,1
6,17,watts_strogatz,rl_stub,4.0,0.024618736383442266,0.3829787234042553,0.59,0.0,0.59,130,226,0,2.0,2.6375,8.80625,1
6,18,watts_strogatz,rl_stub,4.0,0.018809005083514886,0.4,0.588,0.0,0.588,168,0,0,2.0125,2.3375,7.2625,0
7,0,barabasi_albert,greedy,8.0,0.8014705882352942,0.6296296296296297,0.11600000000000002,0.0,0.116,6400,0,0,2.0,0.0,1.0,0
7,1,barabasi_albert,greedy,6.0,0.5882352941176471,0.5483870967741935,0.604,0.0,0.604,0,0,0,1.0,40.0,10.95625,0
7,2,barabasi_albert,greedy,1.0,0.0,0.3953488372093023,0.728,0.0,0.728,0,0,0,1.0,40.0,7.41875,0
7,3,barabasi_albert,greedy,1.0,0.0,0.3617021276595745,0.631,0.0,0.631,0,0,0,0.925,0.0,12.5375,0
7,4,barabasi_albert,greedy,4.0,0.33088235294117646,0.4594594594594595,0.748,0.0,0.748,0,0,0,0.925,40.0,13.65625,0
7,5,barabasi_albert,greedy,1.0,0.0,0.3617021276595745,0.21000000000000002,0.0,0.21,0,0,0,1.0,0.0,7.6375,0
7,6,barabasi_albert,greedy,1.0,0.0,0.32075471698113206,0.35,0.0,0.35,0,0,0,1.0,0.0,10.4375,0
7,7,barabasi_albert,greedy,1.0,0.0,0.32075471698113206,0.491,0.0,0.491,0,0,0,0.96875,0.0,12.425,0
7,8,barabasi_albert,greedy,1.0,0.0,0.3953488372093023,0.41899999999999993,0.0,0.419,0,0,0,0.7,40.0,17.54375,0
7,9,barabasi_albert,greedy,1.0,0.0,0.3953488372093023,0.562,0.0,0.562,0,0,0,1.0,40.0,7.19375,0
7,10,barabasi_albert,greedy,2.0,0.11764705882352941,0.37777777777777777,0.805,0.0,0.805,0,0,0,1.0,0.0,9.5,0
7,11,barabasi_albert,greedy,1.0,0.0,0.3953488372093023,0.726,0.0,0.726,0,0,0,1.0,40.0,7.58125,0
7,12,barabasi_albert,greedy,1.0,0.0,0.3617021276595745,0.403,0.0,0.403,0,0,0,1.0,0.0,7.85625,0
7,13,barabasi_albert,greedy,1.0,0.0,0.3617021276595745,0.361,0.0,0.361,0,0,0,1.0,0.0,8.08125,0
7,14,barabasi_albert,greedy,1.0,0.0,0.2786885245901639,0.8299999999999998,0.0,0.83,0,0,0,1.0,0.0,10.35,0
7,15,barabasi_albert,greedy,1.0,0.0,0.3953488372093023,0.654,0.0,0.654,0,0,0,0.95,40.0,14.88125,0
7,16,barabasi_albert,greedy,1.0,0.0,0.3953488372093023,0.616,0.0,0.616,0,0,0,0.95625,40.0,12.0125,0
7,17,barabasi_albert,greedy,1.0,0.0,0.32075471698113206,0.202,0.0,0.202,0,0,0,1.0,0.0,8.9625,0
8,0,watts_strogatz,rl_stub,4.0,0.15555555555555553,0.52,0.79,0.0,0.79,329,80,0,2.5875,2.4875,8.7375,1
8,1,watts_strogatz,rl_stub,3.0,0.010683760683760682,0.44827586206896547,0.099,0.0,0.099,34,261,0,2.20625,3.1625,9.71875,1
8,2,watts_strogatz,rl_stub,3.0,0.0436965811965812,0.4814814814814815,0.8320000000000001,0.0,0.832,120,0,0,1.4875,1.08125,7.59375,0
8,3,watts_strogatz,rl_stub,5.0,0.12606837606837604,0.5,0.125,0.0,0.125,57,0,0,1.35625,4.80625,10.15,0
8,4,watts_strogatz,rl_stub,3.0,0.01976495726495726,0.44827586206896547,0.44699999999999995,0.0,0.447,116,0,0,1.6125,2.16875,8.325,0
8,5,watts_strogatz,rl_stub,4.0,0.0438034188034188,0.5,0.589,0.0,0.589,170,0,0,2.0625,2.34375,7.3875,0
8,6,watts_strogatz,rl_stub,4.0,0.08226495726495728,0.5,0.8100000000000002,0.0,0.81,120,0,0,1.75,2.975,8.95,0
8,7,watts_strogatz,rl_stub,5.0,0.2215811965811966,0.6190476190476191,0.41200000000000003,0.0,0.412,82,0,0,1.3875,4.125,8.65625,0
8,8,watts_strogatz,rl_stub,4.0,0.13931623931623932,0.52,0.22200000000000003,0.0,0.222,108,0,0,1.4875,3.98125,8.95625,0
8,9,watts_strogatz,rl_stub,3.0,0.01282051282051282,0.4193548387096774,0.10800000000000001,0.0,0.108,355,80,0,3.01875,2.96875,6.11875,1
8,10,watts_strogatz,rl_stub,5.0,0.07457264957264957,0.5,0.197,0.0,0.197,80,0,0,1.25,6.60625,6.06875,0
8,11,watts_strogatz,rl_stub,4.0,0.027564102564102567,0.44827586206896547,0.153,0.0,0.153,287,159,0,3.11875,4.6375,4.39375,1
8,12,watts_strogatz,rl_stub,5.0,0.175,0.5909090909090909,0.306,0.0,0.306,142,93,0,2.24375,5.89375,4.85,1
8,13,watts_strogatz,rl_stub,4.0,0.059615384615384605,0.5,0.758,0.0,0.758,165,0,0,2.03125,5.2375,10.15,0
9,0,erdos_renyi,greedy,6.0,0.07971014492753621,0.5227272727272727,0.688,0.0,0.688,0,0,0,1.0,0.0,7.75625,0
9,1,erdos_renyi,greedy,2.0,0.0,0.4107142857142857,0.349,0.0,0.349,0,0,0,1.0,0.0,5.6625,0
9,2,erdos_renyi,greedy,5.0,0.08831168831168831,0.5476190476190477,0.331,0.0,0.331,0,0,0,1.0,39.8125,9.26875,0
9,3,erdos_renyi,greedy,5.0,0.06546834807704371,0.5111111111111111,0.32,0.0,0.32,0,0,0,1.0,0.1875,8.45,0
9,4,erdos_renyi,greedy,3.0,0.018181818181818177,0.4107142857142857,0.154,0.0,0.154,0,0,0,1.0,0.0,7.5125,0
9,5,erdos_renyi,greedy,4.0,0.0401405357927097,0.5111111111111111,0.625,0.0,0.625,0,0,0,1.0,0.0,11.1,0
9,6,erdos_renyi,greedy,3.0,0.02595520421607378,0.4107142857142857,0.487,0.0,0.487,0,0,0,1.0,0.0,7.6875,0
9,7,erdos_renyi,greedy,9.0,0.16552481335090033,0.5897435897435898,0.713,0.0,0.713,0,0,0,1.0,0.0,8.4625,0
9,8,erdos_renyi,greedy,4.0,0.03490808708200012,0.45098039215686275,0.613,0.0,0.613,0,0,0,1.0,0.0,6.225,0
9,9,erdos_renyi,greedy,6.0,0.11708074534161488,0.5227272727272727,0.869,0.0,0.869,6370,0,0,2.0,0.0,1.0,0
9,10,erdos_renyi,greedy,4.0,0.03458498023715414,0.4339622641509434,0.345,0.0,0.345,0,0,0,1.0,0.0,6.85625,0
9,11,erdos_renyi,greedy,3.0,0.010555869251521424,0.42592592592592593,0.799,0.0,0.799,0,0,0,1.0,39.8125,7.75,0
9,12,erdos_renyi,greedy,4.0,0.04043541000062739,0.4600000000000001,0.071,0.0,0.071,0,0,0,1.0,0.1875,8.5625,0
9,13,erdos_renyi,greedy,1.0,0.0,0.34328358208955223,0.48,0.0,0.48,0,0,0,1.0,0.0,9.48125,0
9,14,erdos_renyi,greedy,4.0,0.028812974465148376,0.44230769230769235,0.485,0.0,0.485,0,0,0,0.78125,0.1875,18.1625,0
9,15,erdos_renyi,greedy,2.0,0.008300395256916997,0.39655172413793105,0.8640000000000001,0.0,0.864,0,0,0,0.925,39.8125,10.03125,0
9,16,erdos_renyi,greedy,4.0,0.029292929292929287,0.48936170212765956,0.44000000000000006,0.0,0.44,0,0,0,1.0,39.8125,6.275,0
9,17,erdos_renyi,greedy,4.0,0.04389861346383085,0.45098039215686275,0.876,0.0,0.876,0,0,0,1.0,0.0,7.8875,0
9,18,erdos_renyi,greedy,3.0,0.02233201581027668,0.4339622641509434,0.322,0.0,0.322,0,0,0,1.0,0.0,10.65625,0
9,19,erdos_renyi,greedy,7.0,0.10150887759583409,0.5609756097560976,0.166,0.0,0.166,0,0,0,1.0,0.0,7.3375,0
9,20,erdos_renyi,greedy,3.0,0.02307861220904699,0.42592592592592593,0.728,0.0,0.728,30,0,0,1.0875,0.0,11.69375,0
9,21,erdos_renyi,greedy,8.0,0.1090626764539808,0.5476190476190477,0.833,0.0,0.833,0,0,0,1.0,0.0,6.70625,0
